day,year,mo,da,crime_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_CRIMES
3,2020,01,01,2020-01-01,30.6,25.2,9999.9,999.9,17.9,25.1,999.9,41.5,25.3,0.0,999.9,0,960
4,2020,01,02,2020-01-02,42.9,33.0,9999.9,999.9,22.9,31.1,999.9,48.0,38.7,0.0,999.9,0,636
5,2020,01,03,2020-01-03,40.1,36.3,9999.9,999.9,10.4,17.1,999.9,47.5,34.3,0.0,999.9,0,697
6,2020,01,04,2020-01-04,33.0,28.1,9999.9,999.9,13.1,19,999.9,34.7,31.3,0.0,999.9,0,638
7,2020,01,05,2020-01-05,32.2,26.3,9999.9,999.9,18.9,28,999.9,43.0,26.1,0.0,999.9,0,623
1,2020,01,06,2020-01-06,35.8,24.5,9999.9,999.9,16.8,27,999.9,42.4,30.7,0.0,999.9,0,691
2,2020,01,07,2020-01-07,37.1,18.5,9999.9,999.9,14.8,21,999.9,39.0,35.8,0.0,999.9,0,628
3,2020,01,08,2020-01-08,23.5,10.5,9999.9,999.9,15.9,27,999.9,34.9,16.3,0.0,999.9,0,647
4,2020,01,09,2020-01-09,33.6,24.6,9999.9,999.9,24,33,999.9,49.1,21.6,0.0,999.9,0,632
5,2020,01,10,2020-01-10,45.1,43.5,9999.9,999.9,18,35.9,999.9,50.2,37.0,0.0,999.9,0,624
6,2020,01,11,2020-01-11,35.8,35.7,9999.9,999.9,23.1,32.1,999.9,37.6,32.0,0.0,999.9,0,560
7,2020,01,12,2020-01-12,28.1,26.5,9999.9,999.9,12.6,32.1,999.9,31.5,25.7,0.0,999.9,0,575
1,2020,01,13,2020-01-13,32.5,30.2,9999.9,999.9,12.4,21,999.9,33.6,31.1,0.0,999.9,0,650
2,2020,01,14,2020-01-14,36.6,34.2,9999.9,999.9,13.5,20,999.9,41.0,32.9,0.0,999.9,0,662
3,2020,01,15,2020-01-15,34.4,33.4,9999.9,999.9,8.2,13,999.9,37.6,32.4,0.0,999.9,0,653
4,2020,01,16,2020-01-16,26.7,19.5,9999.9,999.9,16.7,22,999.9,37.0,18.5,0.0,999.9,0,675
5,2020,01,17,2020-01-17,23.6,16.7,9999.9,999.9,13.1,19,999.9,28.2,19.2,0.0,999.9,0,581
