date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
2011-01-01,2011,01,01,34.1,23.4,1010.9,9.7,15.4,22.0,29.9,55.9,19.0,1.05,999.9,0
2011-01-02,2011,01,02,18.0,5.0,1023.0,10.0,11.9,18.1,26.0,25.0,12.9,0.0,999.9,0
2011-01-03,2011,01,03,27.0,15.0,1020.3,10.0,7.2,12.0,15.9,36.0,21.9,0.0,999.9,0
2011-01-04,2011,01,04,26.6,16.5,1016.1,10.0,9.0,14.0,21.0,34.0,19.9,0.0,999.9,0
2011-01-05,2011,01,05,19.4,8.7,1017.0,10.0,6.0,11.1,15.0,30.9,10.9,0.0,999.9,0
2011-01-06,2011,01,06,27.6,16.3,1007.0,8.5,10.0,17.1,21.0,32.0,23.0,0.0,999.9,0
2011-01-07,2011,01,07,19.6,7.0,1000.8,8.6,8.6,13.0,20.0,24.1,17.1,0.0,999.9,0
2011-01-08,2011,01,08,16.2,5.5,1008.0,8.4,11.5,15.9,22.0,24.1,10.0,0.0,999.9,0
2011-01-09,2011,01,09,19.4,7.1,1024.8,10.0,4.9,11.1,999.9,30.9,10.9,0.0,999.9,0
2011-01-10,2011,01,10,25.8,12.4,1030.2,10.0,4.5,9.9,999.9,32.0,19.0,0.0,999.9,0
2011-01-11,2011,01,11,26.1,18.0,1024.8,4.9,7.3,14.0,19.0,28.9,23.0,0.0,3.1,1
2011-01-12,2011,01,12,25.2,17.0,1026.2,8.5,12.1,17.1,24.1,28.9,21.9,0.09,3.1,0
2011-01-13,2011,01,13,23.5,15.5,1032.8,8.8,6.4,8.0,999.9,27.0,19.0,0.0,2.0,0
2011-01-14,2011,01,14,20.2,12.7,1026.9,6.7,5.1,9.9,999.9,27.0,15.8,0.0,2.0,0
2011-01-15,2011,01,15,23.7,14.7,1019.5,7.5,9.9,15.9,21.0,27.0,21.9,0.0,1.2,0
2011-01-16,2011,01,16,18.2,9.4,1025.5,9.5,4.7,8.9,999.9,24.1,10.0,0.0,2.0,0
2011-01-17,2011,01,17,24.5,16.3,1016.4,7.0,9.3,14.0,22.9,34.0,19.0,0.0,2.0,0
