"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","year","temp","dewp","wdsp","visib","sndp","fog","NUM_CRIMES"
"1",0,0,0,0,1,0,0,0,0,0,0,0,2011,23.5,15.5,6.4,8.8,2,0,0.485470085470085
"2",0,0,0,0,1,0,0,0,0,0,0,0,2011,18.2,9.4,4.7,9.5,2,0,0.198290598290598
"3",0,0,0,0,1,0,0,0,0,0,0,0,2011,26.7,20.8,5.8,5,1.2,0,0.454700854700855
"4",0,0,0,0,1,0,0,0,0,0,0,0,2011,25,20.2,5.7,4.1,1.2,0,0.446153846153846
"5",0,0,0,0,1,0,0,0,0,0,0,0,2011,25.8,17.4,5.6,7,2,0,0.425641025641026
"6",0,0,0,0,1,0,0,0,0,0,0,0,2011,25.8,12.4,4.5,10,999.9,0,0.452991452991453
"7",0,0,0,0,1,0,0,0,0,0,0,0,2011,20.2,12.7,5.1,6.7,2,0,0.570940170940171
"8",0,0,0,0,1,0,0,0,0,0,0,0,2011,19.4,7.1,4.9,10,999.9,0,0.164102564102564
"9",0,0,0,0,1,0,0,0,0,0,0,0,2011,19.4,8.7,6,10,999.9,0,0.415384615384615
"10",0,0,0,0,1,0,0,0,0,0,0,0,2011,27,15,7.2,10,999.9,0,0.396581196581197
"11",0,0,0,0,1,0,0,0,0,0,0,0,2011,21.7,16.2,8,3.9,2,1,0.323076923076923
"12",0,0,0,0,1,0,0,0,0,0,0,0,2011,21.2,14.5,8.3,5.3,1.2,0,0.326495726495727
"13",0,0,0,0,1,0,0,0,0,0,0,0,2011,10.7,1.7,8,7.6,1.2,0,0.176068376068376
"14",0,0,0,0,1,0,0,0,0,0,0,0,2011,13,-0.1,8.1,9,1.2,0,0.27008547008547
"15",0,0,0,0,1,0,0,0,0,0,0,0,2011,30.5,24.2,6.2,7.9,1.2,0,0.176068376068376
"16",0,0,0,0,1,0,0,0,0,0,0,0,2011,19.6,7,8.6,8.6,999.9,0,0.485470085470085
"17",0,0,0,0,1,0,0,0,0,0,0,0,2011,26.1,18,7.3,4.9,3.1,1,0.32991452991453
"18",0,0,0,0,1,0,0,0,0,0,0,0,2011,26.6,16.5,9,10,999.9,0,0.32991452991453
"19",0,0,0,0,1,0,0,0,0,0,0,0,2011,22.8,14.7,9.4,8.6,1.2,0,0.478632478632479
"20",0,0,0,0,1,0,0,0,0,0,0,0,2011,30,22.5,7.9,6.4,1.2,0,0.295726495726496
"21",0,0,0,0,1,0,0,0,0,0,0,0,2011,24.5,16.3,9.3,7,2,0,0.268376068376068
"22",0,0,0,0,1,0,0,0,0,0,0,0,2011,18.4,8.3,7.4,9.6,1.2,0,0.282051282051282
"23",0,0,0,0,1,0,0,0,0,0,0,0,2011,23.7,14.7,9.9,7.5,1.2,0,0.413675213675214
"24",0,0,0,0,1,0,0,0,0,0,0,0,2011,16.2,5.5,11.5,8.4,999.9,0,0.314529914529915
"25",0,0,0,0,1,0,0,0,0,0,0,0,2011,24.3,13.6,13.1,10,1.2,0,0.241025641025641
"26",0,0,0,0,1,0,0,0,0,0,0,0,2011,27.6,16.3,10,8.5,999.9,0,0.403418803418803
"27",0,0,0,0,1,0,0,0,0,0,0,0,2011,25.2,17,12.1,8.5,3.1,0,0.439316239316239
"28",0,0,0,0,1,0,0,0,0,0,0,0,2011,18,5,11.9,10,999.9,0,0.100854700854701
"29",0,0,0,0,1,0,0,0,0,0,0,0,2011,32,27.8,9.6,3.2,1.2,0,0.394871794871795
"30",0,0,0,0,1,0,0,0,0,0,0,0,2011,6.6,-5.9,9,9.8,999.9,0,0.31965811965812
"31",0,0,0,1,0,0,0,0,0,0,0,0,2011,28.3,23.2,4.2,5.4,16.1,0,0
"32",0,0,0,1,0,0,0,0,0,0,0,0,2011,29.7,24.8,3.4,4.4,999.9,0,0.347008547008547
"33",0,0,0,1,0,0,0,0,0,0,0,0,2011,19.4,7.6,5.7,10,16.1,0,0.0888888888888889
"34",0,0,0,1,0,0,0,0,0,0,0,0,2011,41.8,31.6,6.4,9.7,999.9,0,0.482051282051282
"35",0,0,0,1,0,0,0,0,0,0,0,0,2011,28.2,20.7,7,7.8,16.1,0,0.188034188034188
"36",0,0,0,1,0,0,0,0,0,0,0,0,2011,32.6,27.2,5.4,6.3,999.9,0,0.222222222222222
"37",0,0,0,1,0,0,0,0,0,0,0,0,2011,27.8,20.4,6.7,9.7,999.9,0,0.355555555555556
"38",0,0,0,1,0,0,0,0,0,0,0,0,2011,6.3,-5.6,9.6,10,999.9,0,0.186324786324786
"39",0,0,0,1,0,0,0,0,0,0,0,0,2011,16.6,7,6.1,9.5,999.9,0,0.406837606837607
"40",0,0,0,1,0,0,0,0,0,0,0,0,2011,32.7,26.9,8.4,7.8,999.9,0,0.184615384615385
"41",0,0,0,1,0,0,0,0,0,0,0,0,2011,34.3,27.5,8.3,6.1,999.9,0,0.393162393162393
"42",0,0,0,1,0,0,0,0,0,0,0,0,2011,38.8,27,10.8,9.9,999.9,0,0.217094017094017
"43",0,0,0,1,0,0,0,0,0,0,0,0,2011,14.7,-0.6,9.9,10,18.9,0,0.0290598290598291
"44",0,0,0,1,0,0,0,0,0,0,0,0,2011,30.8,22.1,9,8.9,999.9,0,0.299145299145299
"45",0,0,0,1,0,0,0,0,0,0,0,0,2011,4.1,-6.5,7.8,10,999.9,0,0.218803418803419
"46",0,0,0,1,0,0,0,0,0,0,0,0,2011,25.6,19.1,7.7,7.2,999.9,0,0.345299145299145
"47",0,0,0,1,0,0,0,0,0,0,0,0,2011,32.6,20.2,8.5,10,999.9,0,0.456410256410256
"48",0,0,0,1,0,0,0,0,0,0,0,0,2011,33.4,17.3,9.4,10,999.9,0,0.391452991452991
"49",0,0,0,1,0,0,0,0,0,0,0,0,2011,32.3,29.8,13.7,6.3,999.9,0,0.0888888888888889
"50",0,0,0,1,0,0,0,0,0,0,0,0,2011,18.5,9,9.2,7.3,999.9,0,0.111111111111111
"51",0,0,0,1,0,0,0,0,0,0,0,0,2011,52.1,44.9,12.1,9.8,999.9,0,0.558974358974359
"52",0,0,0,1,0,0,0,0,0,0,0,0,2011,32.2,24.3,12.1,7.8,999.9,0,0.364102564102564
"53",0,0,0,1,0,0,0,0,0,0,0,0,2011,46.9,31.3,14.1,9.9,999.9,0,0.714529914529915
"54",0,0,0,1,0,0,0,0,0,0,0,0,2011,32.5,23.4,12.4,8.3,999.9,0,0.439316239316239
"55",0,0,0,1,0,0,0,0,0,0,0,0,2011,40.9,27.7,14.2,10,999.9,0,0.381196581196581
"56",0,0,0,1,0,0,0,0,0,0,0,0,2011,22.1,15.5,17.2,4.6,5.9,1,0.0803418803418803
"57",0,0,0,0,0,0,0,1,0,0,0,0,2011,36,27.2,7.3,9.9,999.9,0,0.473504273504273
"58",0,0,0,0,0,0,0,1,0,0,0,0,2011,41.4,29.9,5.3,10,999.9,0,0.47008547008547
"59",0,0,0,0,0,0,0,1,0,0,0,0,2011,29.9,24,4.4,9.8,999.9,0,0.331623931623932
"60",0,0,0,0,0,0,0,1,0,0,0,0,2011,36.3,22.7,6.6,10,999.9,0,0.724786324786325
"61",0,0,0,0,0,0,0,1,0,0,0,0,2011,38.1,20.3,7.8,10,999.9,0,0.488888888888889
"62",0,0,0,0,0,0,0,1,0,0,0,0,2011,36.2,21,4.5,10,999.9,0,0.523076923076923
"63",0,0,0,0,0,0,0,1,0,0,0,0,2011,33.6,16.6,7,10,999.9,0,0.451282051282051
"64",0,0,0,0,0,0,0,1,0,0,0,0,2011,35,26.5,7,10,999.9,0,0.452991452991453
"65",0,0,0,0,0,0,0,1,0,0,0,0,2011,45.1,32.5,5.1,8.5,999.9,0,0.685470085470085
"66",0,0,0,0,0,0,0,1,0,0,0,0,2011,30.1,15.5,9.3,10,999.9,0,0.420512820512821
"67",0,0,0,0,0,0,0,1,0,0,0,0,2011,45.7,34.1,6.7,9.1,999.9,0,0.492307692307692
