"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","sndp","NUM_CRIMES"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,23.5,2,0.485470085470085
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,18.2,2,0.198290598290598
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,26.7,1.2,0.454700854700855
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,25,1.2,0.446153846153846
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,25.8,2,0.425641025641026
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,25.8,999.9,0.452991452991453
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,20.2,2,0.570940170940171
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,19.4,999.9,0.164102564102564
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,19.4,999.9,0.415384615384615
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,27,999.9,0.396581196581197
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,21.7,2,0.323076923076923
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,21.2,1.2,0.326495726495727
"13",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,10.7,1.2,0.176068376068376
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,13,1.2,0.27008547008547
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,30.5,1.2,0.176068376068376
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,19.6,999.9,0.485470085470085
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,26.1,3.1,0.32991452991453
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,26.6,999.9,0.32991452991453
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,22.8,1.2,0.478632478632479
"20",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,30,1.2,0.295726495726496
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,24.5,2,0.268376068376068
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,18.4,1.2,0.282051282051282
"23",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,23.7,1.2,0.413675213675214
"24",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,16.2,999.9,0.314529914529915
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,24.3,1.2,0.241025641025641
"26",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,27.6,999.9,0.403418803418803
"27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,25.2,3.1,0.439316239316239
"28",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,18,999.9,0.100854700854701
"29",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,32,1.2,0.394871794871795
"30",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,6.6,999.9,0.31965811965812
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,28.3,16.1,0
"32",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,29.7,999.9,0.347008547008547
"33",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,19.4,16.1,0.0888888888888889
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,41.8,999.9,0.482051282051282
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,28.2,16.1,0.188034188034188
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,32.6,999.9,0.222222222222222
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,27.8,999.9,0.355555555555556
"38",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,6.3,999.9,0.186324786324786
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,16.6,999.9,0.406837606837607
"40",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,32.7,999.9,0.184615384615385
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,34.3,999.9,0.393162393162393
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,38.8,999.9,0.217094017094017
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,14.7,18.9,0.0290598290598291
"44",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,30.8,999.9,0.299145299145299
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,4.1,999.9,0.218803418803419
"46",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,25.6,999.9,0.345299145299145
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,32.6,999.9,0.456410256410256
"48",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,33.4,999.9,0.391452991452991
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,32.3,999.9,0.0888888888888889
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,18.5,999.9,0.111111111111111
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,52.1,999.9,0.558974358974359
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,32.2,999.9,0.364102564102564
"53",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,46.9,999.9,0.714529914529915
"54",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,32.5,999.9,0.439316239316239
"55",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,40.9,999.9,0.381196581196581
"56",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,22.1,5.9,0.0803418803418803
"57",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2011,36,999.9,0.473504273504273
"58",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2011,41.4,999.9,0.47008547008547
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2011,29.9,999.9,0.331623931623932
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2011,36.3,999.9,0.724786324786325
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2011,38.1,999.9,0.488888888888889
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2011,36.2,999.9,0.523076923076923
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2011,33.6,999.9,0.451282051282051
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2011,35,999.9,0.452991452991453
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2011,45.1,999.9,0.685470085470085
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2011,30.1,999.9,0.420512820512821
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2011,45.7,999.9,0.492307692307692
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2011,43,999.9,0.475213675213675
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2011,52.1,999.9,0.567521367521368
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2011,33.3,999.9,0.288888888888889
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2011,30.1,999.9,0.630769230769231
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2011,37.2,999.9,0.44957264957265
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2011,34.8,999.9,0.500854700854701
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2011,32.7,999.9,0.687179487179487
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2011,44,999.9,0.261538461538462
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2011,52.4,999.9,0.770940170940171
"77",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2011,29.3,999.9,0.357264957264957
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2011,30.5,999.9,0.328205128205128
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2011,40.5,999.9,0.483760683760684
"80",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2011,33.4,999.9,0.478632478632479
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2011,56.7,999.9,0.724786324786325
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2011,29.5,999.9,0.11965811965812
"83",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2011,32,999.9,0.211965811965812
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2011,31.7,999.9,0.41025641025641
"85",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2011,40.3,999.9,0.523076923076923
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2011,42,999.9,0.44957264957265
"87",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2011,34.8,999.9,0.222222222222222
"88",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,53.2,999.9,0.333333333333333
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,42.4,999.9,0.541880341880342
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,50.7,999.9,0.651282051282051
"91",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,50.8,999.9,0.504273504273504
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,48.4,999.9,0.475213675213675
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,50,999.9,0.642735042735043
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,37.8,999.9,0.72991452991453
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,48.5,999.9,0.557264957264957
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,53.4,999.9,0.572649572649573
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,41.7,999.9,0.408547008547009
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,44.4,999.9,0.641025641025641
"99",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,44.3,999.9,0.774358974358974
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,49.3,999.9,0.54017094017094
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,43.2,999.9,0.57948717948718
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,43.8,999.9,0.411965811965812
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,39.3,999.9,0.388034188034188
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,42,999.9,0.444444444444444
