"","day","temp","dewp","wdsp","sndp","fog","NUM_CRIMES"
"50",4,23.5,15.5,6.4,2,0,0.485470085470085
"55",7,18.2,9.4,4.7,2,0,0.198290598290598
"59",3,26.7,20.8,5.8,1.2,0,0.454700854700855
"72",2,25,20.2,5.7,1.2,0,0.446153846153846
"75",5,25.8,17.4,5.6,2,0,0.425641025641026
"76",1,25.8,12.4,4.5,999.9,0,0.452991452991453
"77",5,20.2,12.7,5.1,2,0,0.570940170940171
"86",7,19.4,7.1,4.9,999.9,0,0.164102564102564
"96",3,19.4,8.7,6,999.9,0,0.415384615384615
"99",1,27,15,7.2,999.9,0,0.396581196581197
"102",4,21.7,16.2,8,2,1,0.323076923076923
"104",1,21.2,14.5,8.3,1.2,0,0.326495726495727
"109",6,10.7,1.7,8,1.2,0,0.176068376068376
"117",7,13,-0.1,8.1,1.2,0,0.27008547008547
"118",7,30.5,24.2,6.2,1.2,0,0.176068376068376
"127",5,19.6,7,8.6,999.9,0,0.485470085470085
"137",2,26.1,18,7.3,3.1,1,0.32991452991453
"141",2,26.6,16.5,9,999.9,0,0.32991452991453
"148",3,22.8,14.7,9.4,1.2,0,0.478632478632479
"159",6,30,22.5,7.9,1.2,0,0.295726495726496
"167",1,24.5,16.3,9.3,2,0,0.268376068376068
"190",4,18.4,8.3,7.4,1.2,0,0.282051282051282
"204",6,23.7,14.7,9.9,1.2,0,0.413675213675214
"206",6,16.2,5.5,11.5,999.9,0,0.314529914529915
"224",1,24.3,13.6,13.1,1.2,0,0.241025641025641
"234",4,27.6,16.3,10,999.9,0,0.403418803418803
"248",3,25.2,17,12.1,3.1,0,0.439316239316239
"253",7,18,5,11.9,999.9,0,0.100854700854701
"261",2,32,27.8,9.6,1.2,0,0.394871794871795
"283",5,6.6,-5.9,9,999.9,0,0.31965811965812
"378",7,28.3,23.2,4.2,16.1,0,0
"383",6,29.7,24.8,3.4,999.9,0,0.347008547008547
"399",6,19.4,7.6,5.7,16.1,0,0.0888888888888889
"408",3,41.8,31.6,6.4,999.9,0,0.482051282051282
"424",1,28.2,20.7,7,16.1,0,0.188034188034188
"425",7,32.6,27.2,5.4,999.9,0,0.222222222222222
"434",3,27.8,20.4,6.7,999.9,0,0.355555555555556
"450",3,6.3,-5.6,9.6,999.9,0,0.186324786324786
"456",5,16.6,7,6.1,999.9,0,0.406837606837607
"473",7,32.7,26.9,8.4,999.9,0,0.184615384615385
"476",4,34.3,27.5,8.3,999.9,0,0.393162393162393
"477",7,38.8,27,10.8,999.9,0,0.217094017094017
"479",5,14.7,-0.6,9.9,18.9,0,0.0290598290598291
"486",6,30.8,22.1,9,999.9,0,0.299145299145299
"489",4,4.1,-6.5,7.8,999.9,0,0.218803418803419
"508",2,25.6,19.1,7.7,999.9,0,0.345299145299145
"527",2,32.6,20.2,8.5,999.9,0,0.456410256410256
"539",6,33.4,17.3,9.4,999.9,0,0.391452991452991
"550",1,32.3,29.8,13.7,999.9,0,0.0888888888888889
"551",2,18.5,9,9.2,999.9,0,0.111111111111111
"556",4,52.1,44.9,12.1,999.9,0,0.558974358974359
"591",1,32.2,24.3,12.1,999.9,0,0.364102564102564
"609",5,46.9,31.3,14.1,999.9,0,0.714529914529915
"615",5,32.5,23.4,12.4,999.9,0,0.439316239316239
"637",1,40.9,27.7,14.2,999.9,0,0.381196581196581
"646",2,22.1,15.5,17.2,5.9,1,0.0803418803418803
"708",2,36,27.2,7.3,999.9,0,0.473504273504273
