"","day","temp","NUM_CRIMES"
"50",4,23.5,0.485470085470085
"55",7,18.2,0.198290598290598
"59",3,26.7,0.454700854700855
"72",2,25,0.446153846153846
"75",5,25.8,0.425641025641026
"76",1,25.8,0.452991452991453
"77",5,20.2,0.570940170940171
"86",7,19.4,0.164102564102564
"96",3,19.4,0.415384615384615
"99",1,27,0.396581196581197
"102",4,21.7,0.323076923076923
"104",1,21.2,0.326495726495727
"109",6,10.7,0.176068376068376
"117",7,13,0.27008547008547
"118",7,30.5,0.176068376068376
"127",5,19.6,0.485470085470085
"137",2,26.1,0.32991452991453
"141",2,26.6,0.32991452991453
"148",3,22.8,0.478632478632479
"159",6,30,0.295726495726496
"167",1,24.5,0.268376068376068
"190",4,18.4,0.282051282051282
"204",6,23.7,0.413675213675214
"206",6,16.2,0.314529914529915
"224",1,24.3,0.241025641025641
"234",4,27.6,0.403418803418803
"248",3,25.2,0.439316239316239
"253",7,18,0.100854700854701
"261",2,32,0.394871794871795
"283",5,6.6,0.31965811965812
"378",7,28.3,0
"383",6,29.7,0.347008547008547
"399",6,19.4,0.0888888888888889
"408",3,41.8,0.482051282051282
"424",1,28.2,0.188034188034188
"425",7,32.6,0.222222222222222
"434",3,27.8,0.355555555555556
"450",3,6.3,0.186324786324786
"456",5,16.6,0.406837606837607
"473",7,32.7,0.184615384615385
"476",4,34.3,0.393162393162393
"477",7,38.8,0.217094017094017
"479",5,14.7,0.0290598290598291
"486",6,30.8,0.299145299145299
"489",4,4.1,0.218803418803419
"508",2,25.6,0.345299145299145
"527",2,32.6,0.456410256410256
"539",6,33.4,0.391452991452991
"550",1,32.3,0.0888888888888889
"551",2,18.5,0.111111111111111
"556",4,52.1,0.558974358974359
"591",1,32.2,0.364102564102564
"609",5,46.9,0.714529914529915
"615",5,32.5,0.439316239316239
"637",1,40.9,0.381196581196581
"646",2,22.1,0.0803418803418803
"708",2,36,0.473504273504273
"709",6,41.4,0.47008547008547
"710",1,29.9,0.331623931623932
"711",5,36.3,0.724786324786325
"713",3,38.1,0.488888888888889
"714",4,36.2,0.523076923076923
"716",2,33.6,0.451282051282051
"737",1,35,0.452991452991453
"738",3,45.1,0.685470085470085
"749",1,30.1,0.420512820512821
"750",5,45.7,0.492307692307692
"753",3,43,0.475213675213675
"771",1,52.1,0.567521367521368
"776",3,33.3,0.288888888888889
"780",5,30.1,0.630769230769231
"816",2,37.2,0.44957264957265
"821",4,34.8,0.500854700854701
"824",2,32.7,0.687179487179487
"833",7,44,0.261538461538462
"839",5,52.4,0.770940170940171
"855",6,29.3,0.357264957264957
"864",7,30.5,0.328205128205128
"895",3,40.5,0.483760683760684
"896",4,33.4,0.478632478632479
"909",4,56.7,0.724786324786325
"913",7,29.5,0.11965811965812
"921",7,32,0.211965811965812
"937",4,31.7,0.41025641025641
"946",6,40.3,0.523076923076923
"949",2,42,0.44957264957265
"958",6,34.8,0.222222222222222
"1036",7,53.2,0.333333333333333
"1038",4,42.4,0.541880341880342
"1042",3,50.7,0.651282051282051
"1053",6,50.8,0.504273504273504
"1064",1,48.4,0.475213675213675
"1078",3,50,0.642735042735043
"1079",5,37.8,0.72991452991453
"1094",5,48.5,0.557264957264957
"1132",3,53.4,0.572649572649573
"1133",4,41.7,0.408547008547009
"1139",5,44.4,0.641025641025641
"1186",6,44.3,0.774358974358974
"1188",2,49.3,0.54017094017094
"1197",2,43.2,0.57948717948718
"1240",5,43.8,0.411965811965812
"1241",3,39.3,0.388034188034188
"1247",7,42,0.444444444444444
"1258",1,40.3,0.430769230769231
"1259",4,48.9,0.641025641025641
"1260",7,53.1,0.502564102564103
"1267",6,54.8,0.569230769230769
"1269",2,38.1,0.211965811965812
"1273",7,70.6,0.786324786324786
"1279",1,62.4,0.605128205128205
"1284",2,56.2,0.502564102564103
"1285",6,46.5,0.463247863247863
"1286",4,44.7,0.52991452991453
"1300",5,45.7,0.632478632478632
"1311",6,58.4,0.553846153846154
"1314",1,56.2,0.646153846153846
"1378",3,77.8,0.782905982905983
"1383",4,58.9,0.695726495726496
"1401",7,54.3,0.494017094017094
"1410",5,61.1,0.791452991452991
"1415",3,53.2,0.516239316239316
"1419",2,44.9,0.581196581196581
"1442",6,56.7,0.504273504273504
"1461",1,53.3,0.535042735042735
"1477",6,63.1,0.535042735042735
"1499",3,56.6,0.552136752136752
"1504",7,61,0.393162393162393
"1513",3,46.3,0.635897435897436
"1515",6,58,0.547008547008547
"1527",2,75.1,0.723076923076923
"1542",2,63.7,0.658119658119658
"1547",1,76.3,0.601709401709402
"1548",4,50.9,0.726495726495726
"1560",5,49,0.647863247863248
"1563",5,56.9,0.700854700854701
"1585",5,66.6,0.890598290598291
"1591",2,81.1,0.748717948717949
"1598",1,61.7,0.690598290598291
"1604",2,49.7,0.661538461538462
"1608",1,45.8,0.54017094017094
"1613",6,48.2,0.471794871794872
"1630",7,60.9,0.84957264957265
"1634",1,72.3,0.683760683760684
"1643",7,73.2,0.618803418803419
"1649",7,45.5,0.452991452991453
"1651",4,46.7,0.505982905982906
"1661",4,73.5,0.67008547008547
"1701",7,74,0.676923076923077
"1707",6,69.9,0.786324786324786
"1708",7,72.7,0.647863247863248
"1720",3,72.9,0.776068376068376
"1724",6,59.3,0.627350427350427
"1779",4,75.9,0.651282051282051
"1787",6,72.2,0.692307692307692
"1792",1,62.6,0.685470085470085
"1793",2,73.4,0.728205128205128
"1794",5,73.8,0.892307692307692
"1801",5,58.1,0.846153846153846
"1805",7,72,0.758974358974359
"1816",2,66,0.765811965811966
"1828",5,63.8,0.642735042735043
"1836",2,80.2,0.707692307692308
"1858",1,74.9,0.714529914529915
"1867",7,57.2,0.603418803418803
"1872",1,74.1,0.776068376068376
"1882",4,68.9,0.642735042735043
"1887",2,86.4,0.758974358974359
"1901",4,65.6,0.897435897435897
"1902",5,70.9,0.786324786324786
"1911",3,86.7,0.733333333333333
"1918",3,66.7,0.776068376068376
"1927",4,67,0.671794871794872
"1930",1,72.4,0.593162393162393
"1960",3,73.4,0.969230769230769
"1981",3,71.6,0.65982905982906
"1988",4,65.6,0.528205128205128
"1990",6,80.9,0.765811965811966
"2026",6,80,0.723076923076923
"2031",2,80.5,0.842735042735043
"2040",7,82.2,0.676923076923077
"2048",6,79.7,0.717948717948718
"2059",6,82.6,0.817094017094017
"2068",6,80,0.769230769230769
"2076",7,83.2,0.72991452991453
"2097",4,74,0.717948717948718
"2100",5,75.6,0.642735042735043
"2112",5,77.3,0.916239316239316
"2115",2,80.2,0.745299145299145
"2122",7,77.4,0.564102564102564
"2126",2,86.2,0.711111111111111
"2133",1,77.7,0.646153846153846
"2141",7,84,0.664957264957265
"2155",4,71.8,0.712820512820513
"2164",2,78.3,0.65982905982906
"2170",1,78.4,0.699145299145299
"2175",4,90.8,0.611965811965812
"2189",3,77.6,0.753846153846154
"2229",5,79.7,0.705982905982906
"2231",3,71.7,0.794871794871795
"2235",3,81.1,0.741880341880342
"2249",1,86.5,0.68034188034188
"2279",7,79,0.594871794871795
"2294",3,87.2,0.625641025641026
"2310",4,80.5,0.747008547008547
"2320",6,78.9,0.658119658119658
"2328",5,83.4,0.811965811965812
"2330",5,75.7,0.818803418803419
"2335",1,81.8,0.747008547008547
"2372",2,73.6,0.512820512820513
"2374",1,71.6,0.629059829059829
"2387",1,83.4,1
"2391",1,70.1,0.651282051282051
"2398",4,71.3,0.683760683760684
"2403",2,71.2,0.67008547008547
"2413",1,69.6,0.652991452991453
"2428",4,77.1,0.716239316239316
"2433",3,74.9,0.647863247863248
"2434",5,71.6,0.678632478632479
"2449",5,77.1,0.842735042735043
"2464",5,76.6,0.882051282051282
"2469",6,78.5,0.776068376068376
"2483",4,75.9,0.842735042735043
"2496",3,71,0.622222222222222
"2502",4,73.8,0.748717948717949
"2506",7,73.8,0.605128205128205
"2524",3,75.3,0.726495726495726
"2558",5,73.3,0.815384615384615
"2565",7,70.5,0.61025641025641
"2569",1,74.3,0.463247863247863
"2585",2,85.7,0.630769230769231
"2593",6,74.6,0.678632478632479
"2596",2,69.9,0.576068376068376
"2605",7,77.7,0.471794871794872
"2614",6,75.4,0.735042735042735
"2634",3,78.5,0.647863247863248
"2640",2,72.9,0.588034188034188
