"","mo","wdsp","sndp","fog","NUM_CRIMES"
"50",1,6.4,2,0,0.485470085470085
"55",1,4.7,2,0,0.198290598290598
"59",1,5.8,1.2,0,0.454700854700855
"72",1,5.7,1.2,0,0.446153846153846
"75",1,5.6,2,0,0.425641025641026
"76",1,4.5,999.9,0,0.452991452991453
"77",1,5.1,2,0,0.570940170940171
"86",1,4.9,999.9,0,0.164102564102564
"96",1,6,999.9,0,0.415384615384615
"99",1,7.2,999.9,0,0.396581196581197
"102",1,8,2,1,0.323076923076923
"104",1,8.3,1.2,0,0.326495726495727
"109",1,8,1.2,0,0.176068376068376
"117",1,8.1,1.2,0,0.27008547008547
"118",1,6.2,1.2,0,0.176068376068376
"127",1,8.6,999.9,0,0.485470085470085
"137",1,7.3,3.1,1,0.32991452991453
"141",1,9,999.9,0,0.32991452991453
"148",1,9.4,1.2,0,0.478632478632479
"159",1,7.9,1.2,0,0.295726495726496
"167",1,9.3,2,0,0.268376068376068
"190",1,7.4,1.2,0,0.282051282051282
"204",1,9.9,1.2,0,0.413675213675214
"206",1,11.5,999.9,0,0.314529914529915
"224",1,13.1,1.2,0,0.241025641025641
"234",1,10,999.9,0,0.403418803418803
"248",1,12.1,3.1,0,0.439316239316239
"253",1,11.9,999.9,0,0.100854700854701
"261",1,9.6,1.2,0,0.394871794871795
"283",1,9,999.9,0,0.31965811965812
"378",2,4.2,16.1,0,0
"383",2,3.4,999.9,0,0.347008547008547
"399",2,5.7,16.1,0,0.0888888888888889
"408",2,6.4,999.9,0,0.482051282051282
"424",2,7,16.1,0,0.188034188034188
"425",2,5.4,999.9,0,0.222222222222222
"434",2,6.7,999.9,0,0.355555555555556
"450",2,9.6,999.9,0,0.186324786324786
"456",2,6.1,999.9,0,0.406837606837607
"473",2,8.4,999.9,0,0.184615384615385
"476",2,8.3,999.9,0,0.393162393162393
"477",2,10.8,999.9,0,0.217094017094017
"479",2,9.9,18.9,0,0.0290598290598291
"486",2,9,999.9,0,0.299145299145299
"489",2,7.8,999.9,0,0.218803418803419
"508",2,7.7,999.9,0,0.345299145299145
"527",2,8.5,999.9,0,0.456410256410256
"539",2,9.4,999.9,0,0.391452991452991
"550",2,13.7,999.9,0,0.0888888888888889
"551",2,9.2,999.9,0,0.111111111111111
"556",2,12.1,999.9,0,0.558974358974359
"591",2,12.1,999.9,0,0.364102564102564
"609",2,14.1,999.9,0,0.714529914529915
"615",2,12.4,999.9,0,0.439316239316239
"637",2,14.2,999.9,0,0.381196581196581
"646",2,17.2,5.9,1,0.0803418803418803
"708",3,7.3,999.9,0,0.473504273504273
"709",3,5.3,999.9,0,0.47008547008547
"710",3,4.4,999.9,0,0.331623931623932
"711",3,6.6,999.9,0,0.724786324786325
"713",3,7.8,999.9,0,0.488888888888889
"714",3,4.5,999.9,0,0.523076923076923
"716",3,7,999.9,0,0.451282051282051
"737",3,7,999.9,0,0.452991452991453
"738",3,5.1,999.9,0,0.685470085470085
"749",3,9.3,999.9,0,0.420512820512821
"750",3,6.7,999.9,0,0.492307692307692
"753",3,6.3,999.9,0,0.475213675213675
"771",3,6,999.9,0,0.567521367521368
"776",3,8.9,999.9,0,0.288888888888889
"780",3,7.6,999.9,0,0.630769230769231
"816",3,6.4,999.9,0,0.44957264957265
"821",3,11.8,999.9,0,0.500854700854701
"824",3,6.8,999.9,0,0.687179487179487
"833",3,9.7,999.9,0,0.261538461538462
"839",3,7.6,999.9,0,0.770940170940171
"855",3,13.2,999.9,0,0.357264957264957
"864",3,11.4,999.9,0,0.328205128205128
"895",3,9.4,999.9,0,0.483760683760684
"896",3,9.7,999.9,0,0.478632478632479
"909",3,11.3,999.9,0,0.724786324786325
"913",3,11.3,999.9,0,0.11965811965812
"921",3,6.8,999.9,0,0.211965811965812
"937",3,13.1,999.9,0,0.41025641025641
"946",3,13.8,999.9,0,0.523076923076923
"949",3,11.7,999.9,0,0.44957264957265
"958",3,15.8,999.9,0,0.222222222222222
"1036",4,5.3,999.9,0,0.333333333333333
"1038",4,7.1,999.9,1,0.541880341880342
"1042",4,3.3,999.9,0,0.651282051282051
"1053",4,4.7,999.9,0,0.504273504273504
"1064",4,7.5,999.9,0,0.475213675213675
"1078",4,8.2,999.9,0,0.642735042735043
"1079",4,4.7,999.9,0,0.72991452991453
"1094",4,6.7,999.9,0,0.557264957264957
"1132",4,5.8,999.9,0,0.572649572649573
"1133",4,6.3,999.9,0,0.408547008547009
"1139",4,9.4,999.9,0,0.641025641025641
"1186",4,9.6,999.9,0,0.774358974358974
"1188",4,11.1,999.9,0,0.54017094017094
"1197",4,10.5,999.9,0,0.57948717948718
"1240",4,10,999.9,0,0.411965811965812
"1241",4,12.7,999.9,0,0.388034188034188
"1247",4,14.4,999.9,0,0.444444444444444
"1258",4,12.2,999.9,0,0.430769230769231
"1259",4,11.6,999.9,0,0.641025641025641
"1260",4,9.7,999.9,0,0.502564102564103
"1267",4,11.7,999.9,0,0.569230769230769
"1269",4,14.4,999.9,0,0.211965811965812
"1273",4,12.1,999.9,0,0.786324786324786
"1279",4,13.3,999.9,0,0.605128205128205
"1284",4,13,999.9,0,0.502564102564103
"1285",4,12.7,999.9,0,0.463247863247863
"1286",4,13,999.9,0,0.52991452991453
"1300",4,17.5,999.9,0,0.632478632478632
"1311",4,13.3,999.9,0,0.553846153846154
"1314",4,13.1,999.9,0,0.646153846153846
"1378",5,6.1,999.9,0,0.782905982905983
"1383",5,5.2,999.9,0,0.695726495726496
"1401",5,7.1,999.9,0,0.494017094017094
"1410",5,4.6,999.9,1,0.791452991452991
"1415",5,6.8,999.9,0,0.516239316239316
"1419",5,8.9,999.9,0,0.581196581196581
"1442",5,5.3,999.9,0,0.504273504273504
"1461",5,7,999.9,0,0.535042735042735
"1477",5,7.1,999.9,0,0.535042735042735
"1499",5,7.4,999.9,1,0.552136752136752
"1504",5,5.2,999.9,1,0.393162393162393
"1513",5,6.8,999.9,0,0.635897435897436
"1515",5,6.4,999.9,0,0.547008547008547
"1527",5,9.4,999.9,0,0.723076923076923
"1542",5,9.1,999.9,0,0.658119658119658
"1547",5,9,999.9,0,0.601709401709402
"1548",5,8.3,999.9,0,0.726495726495726
"1560",5,9.4,999.9,0,0.647863247863248
"1563",5,8.7,999.9,0,0.700854700854701
"1585",5,7.3,999.9,0,0.890598290598291
"1591",5,11.9,999.9,0,0.748717948717949
"1598",5,11.8,999.9,0,0.690598290598291
"1604",5,12.2,999.9,0,0.661538461538462
"1608",5,13.6,999.9,0,0.54017094017094
"1613",5,16.3,999.9,0,0.471794871794872
"1630",5,12.3,999.9,0,0.84957264957265
