"","temp","year"
"50",23.5,2011
"55",18.2,2011
"59",26.7,2011
"72",25,2011
"75",25.8,2011
"76",25.8,2011
"77",20.2,2011
"86",19.4,2011
"96",19.4,2011
"99",27,2011
"102",21.7,2011
"104",21.2,2011
"109",10.7,2011
"117",13,2011
"118",30.5,2011
"127",19.6,2011
"137",26.1,2011
"141",26.6,2011
"148",22.8,2011
"159",30,2011
"167",24.5,2011
"190",18.4,2011
"204",23.7,2011
"206",16.2,2011
"224",24.3,2011
"234",27.6,2011
"248",25.2,2011
"253",18,2011
"261",32,2011
"283",6.6,2011
"378",28.3,2011
"383",29.7,2011
"399",19.4,2011
"408",41.8,2011
"424",28.2,2011
"425",32.6,2011
"434",27.8,2011
"450",6.3,2011
"456",16.6,2011
"473",32.7,2011
"476",34.3,2011
"477",38.8,2011
"479",14.7,2011
"486",30.8,2011
"489",4.1,2011
"508",25.6,2011
"527",32.6,2011
"539",33.4,2011
"550",32.3,2011
"551",18.5,2011
"556",52.1,2011
"591",32.2,2011
"609",46.9,2011
"615",32.5,2011
"637",40.9,2011
"646",22.1,2011
"708",36,2011
"709",41.4,2011
"710",29.9,2011
"711",36.3,2011
"713",38.1,2011
"714",36.2,2011
"716",33.6,2011
"737",35,2011
"738",45.1,2011
"749",30.1,2011
"750",45.7,2011
"753",43,2011
"771",52.1,2011
"776",33.3,2011
"780",30.1,2011
"816",37.2,2011
"821",34.8,2011
"824",32.7,2011
"833",44,2011
"839",52.4,2011
"855",29.3,2011
"864",30.5,2011
"895",40.5,2011
"896",33.4,2011
"909",56.7,2011
"913",29.5,2011
"921",32,2011
"937",31.7,2011
"946",40.3,2011
"949",42,2011
"958",34.8,2011
"1036",53.2,2011
"1038",42.4,2011
"1042",50.7,2011
"1053",50.8,2011
"1064",48.4,2011
"1078",50,2011
"1079",37.8,2011
"1094",48.5,2011
"1132",53.4,2011
"1133",41.7,2011
"1139",44.4,2011
"1186",44.3,2011
"1188",49.3,2011
"1197",43.2,2011
"1240",43.8,2011
"1241",39.3,2011
"1247",42,2011
"1258",40.3,2011
"1259",48.9,2011
"1260",53.1,2011
"1267",54.8,2011
"1269",38.1,2011
"1273",70.6,2011
"1279",62.4,2011
"1284",56.2,2011
"1285",46.5,2011
"1286",44.7,2011
"1300",45.7,2011
"1311",58.4,2011
"1314",56.2,2011
"1378",77.8,2011
"1383",58.9,2011
"1401",54.3,2011
"1410",61.1,2011
"1415",53.2,2011
"1419",44.9,2011
"1442",56.7,2011
"1461",53.3,2011
"1477",63.1,2011
"1499",56.6,2011
"1504",61,2011
"1513",46.3,2011
"1515",58,2011
"1527",75.1,2011
"1542",63.7,2011
"1547",76.3,2011
"1548",50.9,2011
"1560",49,2011
"1563",56.9,2011
"1585",66.6,2011
"1591",81.1,2011
"1598",61.7,2011
"1604",49.7,2011
"1608",45.8,2011
"1613",48.2,2011
"1630",60.9,2011
"1634",72.3,2011
"1643",73.2,2011
"1649",45.5,2011
"1651",46.7,2011
"1661",73.5,2011
"1701",74,2011
"1707",69.9,2011
"1708",72.7,2011
"1720",72.9,2011
"1724",59.3,2011
"1779",75.9,2011
"1787",72.2,2011
"1792",62.6,2011
"1793",73.4,2011
"1794",73.8,2011
"1801",58.1,2011
"1805",72,2011
"1816",66,2011
"1828",63.8,2011
"1836",80.2,2011
"1858",74.9,2011
"1867",57.2,2011
"1872",74.1,2011
"1882",68.9,2011
"1887",86.4,2011
"1901",65.6,2011
"1902",70.9,2011
