day,year,mo,da,crime_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_CRIMES
2,2011,05,10,2011-05-10,58.6,9999.9,9999.9,999.9,16.8,23.9,999.9,68.4,52.2,0.0,999.9,0,1076
2,2011,05,10,2011-05-10,75.1,56.7,1006.5,9.8,9.4,15.9,22.9,91.0,64.0,0.0,999.9,0,1076
3,2011,05,11,2011-05-11,77.8,66.0,1007.4,8.0,6.1,9.9,15.0,90.0,70.0,0.0,999.9,0,1111
3,2011,05,11,2011-05-11,64.6,9999.9,9999.9,999.9,13.8,23.9,999.9,74.1,58.1,0.0,999.9,0,1111
4,2011,05,12,2011-05-12,73.5,62.2,1009.0,7.8,6.5,28.0,46.0,87.1,63.0,0.28,999.9,0,1045
4,2011,05,12,2011-05-12,64.3,9999.9,9999.9,999.9,9.8,19.0,999.9,75.4,52.7,0.0,999.9,0,1045
5,2011,05,13,2011-05-13,62.2,9999.9,9999.9,999.9,13.9,26.0,999.9,71.8,47.3,0.0,999.9,0,1174
5,2011,05,13,2011-05-13,66.6,58.1,1006.0,9.5,7.3,18.1,22.9,84.9,55.0,0.02,999.9,0,1174
6,2011,05,14,2011-05-14,48.2,44.6,1006.5,6.8,16.3,20.0,31.1,55.0,46.0,0.01,999.9,0,929
6,2011,05,14,2011-05-14,44.4,9999.9,9999.9,999.9,28.4,30.9,999.9,49.3,42.6,0.0,999.9,0,929
7,2011,05,15,2011-05-15,43.2,9999.9,9999.9,999.9,28.2,33.0,999.9,45.0,41.0,0.0,999.9,0,918
7,2011,05,15,2011-05-15,45.5,41.4,1008.6,5.7,16.4,22.9,33.0,48.0,42.1,0.64,999.9,0,918
1,2011,05,16,2011-05-16,45.8,31.0,1016.0,10.0,13.6,20.0,31.1,52.0,39.9,0.16,999.9,0,969
1,2011,05,16,2011-05-16,42.0,9999.9,9999.9,999.9,22.8,28.0,999.9,43.3,40.8,0.0,999.9,0,969
2,2011,05,17,2011-05-17,43.7,9999.9,9999.9,999.9,18.5,22.0,999.9,45.5,42.3,0.0,999.9,0,1040
2,2011,05,17,2011-05-17,49.7,33.5,1015.6,10.0,12.2,19.0,22.9,60.1,39.9,0.0,999.9,0,1040
3,2011,05,18,2011-05-18,45.1,9999.9,9999.9,999.9,13.8,20.0,999.9,46.9,43.5,0.0,999.9,0,955
3,2011,05,18,2011-05-18,53.2,45.4,1011.4,6.9,6.8,11.1,999.9,61.0,50.0,0.03,999.9,0,955
4,2011,05,19,2011-05-19,58.9,52.6,1015.1,6.8,5.2,9.9,999.9,73.0,50.0,0.0,999.9,0,1060
4,2011,05,19,2011-05-19,48.9,9999.9,9999.9,999.9,9.7,15.9,999.9,55.6,44.8,0.0,999.9,0,1060
5,2011,05,20,2011-05-20,49.7,9999.9,9999.9,999.9,3.2,6.0,999.9,54.3,46.0,0.0,999.9,0,1116
5,2011,05,20,2011-05-20,61.1,53.5,1017.6,9.0,4.6,11.1,999.9,72.0,52.0,0.0,999.9,1,1116
6,2011,05,21,2011-05-21,63.1,55.0,1012.6,9.0,7.1,14.0,20.0,75.9,50.0,0.0,999.9,0,966
6,2011,05,21,2011-05-21,51.7,9999.9,9999.9,999.9,7.9,21.0,999.9,65.3,43.7,0.0,999.9,0,966
7,2011,05,22,2011-05-22,73.2,60.7,1006.8,9.1,9.9,22.0,29.9,88.0,64.9,0.0,999.9,0,1015
7,2011,05,22,2011-05-22,66.4,9999.9,9999.9,999.9,16.7,27.0,999.9,78.6,56.5,0.0,999.9,0,1015
1,2011,05,23,2011-05-23,72.3,59.4,1001.7,9.9,11.8,21.0,29.9,80.1,64.9,0.12,999.9,0,1053
1,2011,05,23,2011-05-23,68.9,9999.9,9999.9,999.9,18.0,27.0,999.9,75.7,61.3,0.0,999.9,0,1053
2,2011,05,24,2011-05-24,63.7,51.4,1008.8,10.0,9.1,15.9,999.9,77.0,51.1,0.0,999.9,0,1038
2,2011,05,24,2011-05-24,54.8,9999.9,9999.9,999.9,13.2,20.0,999.9,73.9,43.3,0.0,999.9,0,1038
3,2011,05,25,2011-05-25,48.1,9999.9,9999.9,999.9,12.7,22.9,999.9,53.6,43.2,0.0,999.9,0,976
